PC1,PC2,cluster,distance_score,distance_anomaly,small_cluster_anomaly,hierarchical_anomaly_score
0.05151708384727501,-1.4246822809093909,2,0.09589436398789669,0,0,0.05753661839273801
0.3075609668689172,-1.969267206436855,2,0.08950224132103661,0,0,0.053701344792621966
-0.6200703019535739,0.6938267412826675,0,0.08911484379181271,0,0,0.05346890627508762
-0.3683058000282565,-0.23524362279435385,0,0.14809244455807064,0,0,0.08885546673484238
-0.16919482210574513,-0.4086605570107966,2,0.12748068067990287,0,0,0.07648840840794172
-0.45929740096745475,1.1440315628543,0,0.10579423810878281,0,0,0.06347654286526969
0.24674894921588403,-1.8708488128057563,2,0.17930082308606304,0,0,0.10758049385163783
0.049369338698962165,-0.7622248625681607,2,0.17362244073409894,0,0,0.10417346444045936
0.14868738904470633,-1.457944666804809,2,0.12457042139985106,0,0,0.07474225283991064
-0.6666706609779535,1.1326028209849437,2,0.14526940903184005,0,0,0.08716164541910403
-0.04718335277813697,-1.3524895916286932,2,0.1750969005157232,0,0,0.1050581403094339
-0.45200343873857374,1.0225960266804248,0,0.10516279287901224,0,0,0.06309767572740735
-0.6256707551268337,1.0711555821098455,0,0.07242071502270034,0,0,0.0434524290136202
-1.8783656352542868,5.600153102506939,0,0.4649338676359288,0,0,0.2789603205815573
-0.7128268523997177,1.5412076422614593,0,0.11401497467454404,0,0,0.06840898480472642
-0.4186725710007432,-0.08861642669478398,2,0.14496008146300923,0,0,0.08697604887780554
-0.8180343484906893,1.7165991691155877,0,0.0820970270366254,0,0,0.04925821622197524
-0.2372710437745811,-0.14179879241000518,2,0.1501379771494505,0,0,0.0900827862896703
0.03550734679536717,-1.5578008360136517,2,0.18430518370224672,0,0,0.11058311022134802
-0.3354287924440218,0.11228835184067143,0,0.10797324824949071,0,0,0.06478394894969443
0.14954183575837263,-1.4221680889608688,2,0.16661393083700834,0,0,0.09996835850220501
-0.12422733379050725,-0.9989766440092991,2,0.1055856757453115,0,0,0.0633514054471869
-0.03189413447773139,-0.7513782162483258,2,0.20748745386826747,0,0,0.12449247232096047
4.925118496521135,2.9214428308407445,1,0.1490093752965519,0,1,0.4894056251779312
-0.47792870593857095,0.7847507136344842,0,0.18114445890088243,0,0,0.10868667534052946
0.08075301936605073,-1.0463455349732336,2,0.1566759569954495,0,0,0.0940055741972697
