index,PC1,PC2,cluster,type
0,-0.1309240080980595,-1.4254423571602586,0,core
1,0.024032744870238633,-1.9582202220246714,0,core
2,-0.48904287493952797,0.30056759037158753,0,core
3,-0.3550760381221982,-0.4830183662363344,0,core
4,-0.18296669883972025,-0.7997086670026269,0,core
5,-0.33093286988927106,0.7623899548499914,0,core
6,0.020564135928113524,-2.1769608620531162,0,core
7,-0.05388854474901647,-0.6443431272709254,0,core
8,-0.0515176126521404,-1.6535575577792279,0,core
9,-0.5109839931125851,1.3903233084712106,0,core
10,-0.0971170958186545,-1.1976019270360192,0,core
11,-0.3085043731735134,0.6904383909156193,0,core
12,-0.4574802181809476,0.7471246530313701,0,core
13,-1.1868981636764462,5.778252792728169,0,core
14,-0.4234634919741349,1.338966619863283,0,core
15,-0.43314625291323444,-0.20884310004561038,0,core
16,-0.5634669487554698,1.5494338262186047,0,core
17,-0.22130659322386437,-0.08440631611892895,0,core
18,-0.057368540892322566,-1.2639656402861934,0,core
19,-0.2410275477219955,-0.17494683173777917,0,core
20,-0.10736641882401465,-1.4111673639023574,0,core
21,-0.22000709560515358,-0.9730771740148086,0,core
22,-0.14062855597990423,-0.7850305587504438,0,core
23,5.216516287026791,1.9460234207551599,1,core
24,-0.33764684577979376,0.5346522694328535,0,core
25,-0.08806139808780065,-1.0133201403159444,0,core
26,7.476920351633766,2.077742288149097,1,core
27,-0.21210481164187867,-0.2979130944541171,0,core
28,-0.20469168919279573,0.05752240075875691,0,core
29,-0.20045224256812946,-0.09851721246762067,0,core
30,-0.22212844676499666,-1.5811279225473804,0,core
31,-0.0011920939498679855,-0.8222976416787339,0,core
32,5.411213111086768,-0.5100744501193161,1,core
33,-0.8248812020304077,3.9913609768903267,0,core
34,-0.162012254282791,-2.0097439104496235,0,core
35,-0.2723376923979564,-0.6609139208605627,0,core
36,-0.41264447498033197,-0.023517773463674115,0,core
37,-0.19328602056424218,-0.07975087101259688,0,core
38,4.091450748097726,-0.003373957723967287,1,core
39,-0.3057889977072724,0.3064897480158261,0,core
40,-0.2254198579301472,-1.1225281965010598,0,core
41,-0.03750407499188732,-1.3364136194003646,0,core
42,-0.009616743719094472,-1.8291315919107656,0,core
43,-0.4725381452670252,0.22763388113986988,0,core
44,-0.5972142257573861,0.8397255717374981,0,core
45,-0.2188814655105138,-0.8815784821058974,0,core
46,-0.502639019433504,0.206234653412117,0,core
47,-0.5986855854730609,1.9256987741947302,0,core
48,-0.767596676006046,3.571056652569013,0,core
49,-0.18707678567638794,-0.15825780479581464,0,core
50,-0.22907928302483818,-0.6785565641440653,0,core
51,-0.16748012628904627,-0.4334220418752037,0,core
52,0.14887449884531906,-2.7865594420144832,0,core
53,-0.3911945822697096,0.3863147442739207,0,core
54,-0.13217577619621299,-1.206542832903645,0,core
55,-0.46151534871711375,0.7003880444725165,0,core
56,-0.2696834673846369,-0.9606940290599407,0,core
57,-0.14959542405791618,-0.3681997086334982,0,core
58,-0.3440924216895529,-0.6167129232053183,0,core
59,-0.47405866107984374,0.6048717962428767,0,core
