TransactionID,TransactionAmount,TransactionDate,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TimeSincePrev,AmountBalanceRatio,LoginRisk,TransactionCount,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,AccountID_freq,DeviceID_freq,IP Address_freq,MerchantID_freq,Location_freq
TX000001,14.09,2023-04-11 16:29:14,70,81,1,5112.21,2024-11-04 08:08:08,-49477134.0,0.002755607534210408,0,1,True,False,False,False,False,False,7,6,3,32,59
TX000002,376.24,2023-06-27 16:44:19,68,141,1,13758.91,2024-11-04 08:09:35,-42823516.0,0.027343202099432338,0,1,True,False,False,False,False,False,7,5,4,27,63
TX000003,126.29,2023-07-10 18:16:08,19,56,1,1122.35,2024-11-04 08:07:04,-41694656.0,0.11242266435216096,0,1,True,False,True,False,False,True,4,5,7,30,61
TX000004,184.5,2023-05-05 16:32:11,26,25,1,8569.06,2024-11-04 08:09:06,-47403415.0,0.021528437373834024,0,1,True,False,True,False,False,True,8,6,8,31,59
TX000005,13.45,2023-10-16 17:51:24,26,198,1,7429.4,2024-11-04 08:06:39,-33228915.0,0.001810131352282515,0,1,False,False,True,False,False,True,6,3,4,31,61
TX000006,92.15,2023-04-03 17:15:01,18,172,1,781.68,2024-11-04 08:06:36,-50165495.0,0.11773649511933358,0,1,True,False,False,False,False,True,8,4,4,27,68
TX000007,7.08,2023-02-15 16:36:48,37,139,1,13316.71,2024-11-04 08:10:09,-54228801.0,0.0005316229291672518,0,1,False,False,False,False,False,False,1,4,4,30,61
TX000008,171.42,2023-05-08 17:47:59,67,291,1,2796.24,2024-11-04 08:10:55,-47139776.0,0.06128183495159514,0,1,False,True,False,False,True,False,7,2,7,22,58
TX000009,106.23,2023-03-21 16:59:46,51,86,1,9095.14,2024-11-04 08:11:14,-51289888.0,0.011678580144984577,0,1,False,True,False,True,False,False,2,6,5,22,63
TX000010,815.96,2023-03-31 16:06:57,55,120,1,1021.88,2024-11-04 08:06:32,-50428775.0,0.7977084310965118,0,1,True,False,False,False,False,False,7,4,6,29,55
TX000011,17.78,2023-03-14 16:46:10,52,59,1,7599.52,2024-11-04 08:06:45,-51895235.0,0.002339313625909806,0,1,False,False,True,True,False,False,7,3,5,24,41
TX000012,190.02,2023-02-06 17:30:00,21,173,1,1528.81,2024-11-04 08:07:12,-55003032.0,0.1242115033893098,0,1,True,False,True,False,False,True,7,7,4,26,63
TX000013,494.52,2023-06-07 17:21:28,24,111,1,1620.02,2024-11-04 08:08:38,-44549230.0,0.3050671799237517,0,1,False,True,False,False,False,True,3,7,5,27,61
TX000014,781.76,2023-11-20 16:39:15,26,123,1,189.69,2024-11-04 08:07:06,-30209271.0,4.0996381561697,0,1,True,False,False,False,False,True,6,4,5,31,63
TX000015,166.99,2023-02-13 16:53:57,18,134,1,299.93,2024-11-04 08:10:09,-54400572.0,0.5549131027149171,0,1,True,False,True,False,False,True,6,7,5,23,51
TX000016,465.45,2023-12-12 16:23:31,36,129,1,3465.54,2024-11-04 08:12:19,-28309728.0,0.13426932907163916,0,1,True,False,False,True,False,False,2,4,7,31,62
TX000017,555.8,2023-10-30 16:52:49,19,158,1,1131.26,2024-11-04 08:07:35,-32022886.0,0.49087665377210177,0,1,False,True,False,False,False,True,7,6,7,26,59
TX000018,492.93,2023-12-14 18:32:14,39,234,1,5109.97,2024-11-04 08:11:51,-28129177.0,0.0964454888211044,0,1,True,False,True,True,False,False,6,4,2,27,54
TX000019,18.68,2023-02-21 16:56:50,59,106,1,7948.37,2024-11-04 08:12:01,-53709311.0,0.0023498717508431484,0,1,False,True,False,False,True,False,9,5,4,27,41
TX000020,71.48,2023-06-08 18:18:50,18,169,1,6568.59,2024-11-04 08:09:20,-44459430.0,0.01088043546096484,0,1,False,False,True,False,False,True,7,6,7,25,54
TX000021,59.32,2023-02-28 16:36:58,71,38,1,5750.89,2024-11-04 08:09:24,-53105546.0,0.010313131857528569,0,1,True,True,False,False,True,False,7,1,5,26,69
TX000022,85.77,2023-08-11 18:31:31,38,93,1,9146.19,2024-11-04 08:08:13,-38929002.0,0.009376650096915008,0,1,True,True,False,False,False,False,9,5,4,33,55
TX000023,52.2,2023-06-06 18:54:15,39,120,1,8974.93,2024-11-04 08:07:01,-44629966.0,0.005815553374413571,0,1,True,False,True,True,False,False,8,9,9,17,61
TX000024,345.84,2023-05-02 18:25:46,22,142,3,1402.5,2024-11-04 08:07:04,-47655678.0,0.24641254007837546,1,1,True,False,True,False,False,True,9,5,3,22,70
